0.000009,
0.000000,
0.000001,
0.000006,
0.000014,
0.000003,
0.000013,
0.000003,
0.000001,
0.000002,
0.000010,
0.016221,
0.003449,
0.080811,
0.038622,
0.039590,
0.041433,
0.023043,
0.022747,
0.029948,
0.039640,
0.012235,
0.016451,
0.012078,
0.009932,
0.015434,
0.013292,
0.002844,
0.006581,
0.004172,
0.003348,
0.001564,
0.000827,
0.192338,
0.073167,
0.003302,
0.025003,
0.017855,
0.020688,
0.030615,
0.046301,
0.004333,
0.016543,
0.016784,
0.004951,
0.005311,
0.005986,
0.008769,
0.005705,
0.001491,
0.001587,
0.003698,
0.001807,
0.000078,
0.381713,
0.005860,
0.006316,
0.054635,
0.000354,
0.022162,
0.033176,
0.026001,
0.036552,
0.017411,
0.007070,
0.000502,
0.013220,
0.004311,
0.002838,
0.006494,
0.007359,
0.000383,
0.000805,
0.001802,
0.000042,
0.568003,
0.267887,
0.007569,
0.010809,
0.027063,
0.050164,
0.009216,
0.041781,
0.025980,
0.010633,
0.015688,
0.013503,
0.013226,
0.000748,
0.006454,
0.013602,
0.003653,
0.004348,
0.002355,
0.004122,
0.003246,
1.730427,
1.966648,
2.288424,
1.240174,
0.017035,
0.107828,
0.589032,
1.148462,
0.848089,
0.170433,
0.355843,
0.440341,
0.376801,
0.193218,
0.117244,
0.017595,
0.078964,
0.084032,
0.060884,
0.015777,
0.002970,
1.067659,
2.902248,
1.553030,
0.660810,
0.625717,
1.465824,
1.406700,
0.463909,
1.176023,
1.622180,
0.956074,
0.257716,
1.035918,
1.086660,
0.391560,
0.493728,
0.696693,
0.334155,
0.056651,
0.223702,
0.166035,
0.440893,
0.096159,
0.074065,
0.163536,
0.073813,
0.023738,
0.073144,
0.051587,
0.000258,
0.029302,
0.036325,
0.002642,
0.010110,
0.008470,
0.010071,
0.015600,
0.006923,
0.003576,
0.000424,
0.002725,
0.000905,
0.540200,
0.292073,
0.210984,
0.092207,
0.040735,
0.060875,
0.019584,
0.011945,
0.050178,
0.007974,
0.008242,
0.007723,
0.007618,
0.009830,
0.020341,
0.009661,
0.007301,
0.002197,
0.002696,
0.002583,
0.000849,
0.001148,
0.000451,
0.000859,
0.000069,
0.000405,
0.000227,
0.000295,
0.000054,
0.000213,
0.000161,
0.000109,
0.000112,
0.000093,
0.000020,
0.000015,
0.000007,
0.000035,
0.000001,
0.000047,
